Word,e,t,a,o,i,th,he,in,er,an,Frequency,Char_repitions
alien,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.006197052881171831,0.0
align,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.002597076965107743,0.0
alike,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.006876293620051847,0.0
alive,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.02162552109287506,0.0
allay,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003400570242007168,0.6666666666666666
alley,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035674208777934807,0.3333333333333333
allot,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011396689254493989,0.3333333333333333
allow,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.043555293519572734,0.3333333333333333
alloy,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0026552975998688872,0.3333333333333333
aloft,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0011367093765157076,0.0
alone,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06743788307055046,0.0
along,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.10748300600317817,0.0
aloof,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009426405939785601,0.3333333333333333
aloud,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.005566329337926101,0.0
alpha,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006002984098634683,0.3333333333333333
altar,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006391121663708978,0.3333333333333333
alter,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0065851904462461254,0.0
amass,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022555644250379976,0.6666666666666666
amaze,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003322942728992309,0.3333333333333333
amber,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.003873079210289488,0.0
amble,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012269998775911158,0.0
amend,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012385954873477098,0.0
amiss,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.000865013080963701,0.3333333333333333
amity,0.0,0.3333333333333333,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0003371459924626596,0.0
among,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.12391966154016189,0.0
ample,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003203541910536329,0.0
amply,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006175753832288379,0.0
amuse,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009766026309225607,0.0
angel,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0114854272053091,0.0
anger,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02162552109287506,0.0
angle,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015366802856052051,0.0
angry,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019684833267503584,0.0
angst,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0006418339810459813,0.0
anime,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.00033763116441900247,0.0
ankle,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004159330664531781,0.0
annex,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0021749773630894468,0.3333333333333333
annoy,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0006515374201728387,0.3333333333333333
annul,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001717023553497413,0.3333333333333333
anode,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0012288920482208525,0.0
antic,0.0,0.3333333333333333,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,6.836072864871022e-05,0.0
anvil,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0004589241535047197,0.0
aorta,0.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0013647401959968558,0.3333333333333333
apart,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024876173200372283,0.3333333333333333
aphid,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0001814057944765987,0.0
aping,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,5.6231429740138505e-05,0.0
apnea,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007970890070756994,0.3333333333333333
apple,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009932876945011921,0.3333333333333333
apply,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027641653351526636,0.3333333333333333
apron,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.001956649982735156,0.0
aptly,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009863060700494183,0.0
